wallet,in_degree,out_degree,total_transactions,total_incoming,total_outgoing,avg_transaction,unique_connections,anomaly,anomaly_score,risk_score,risk_level
W001,2,2,5,180,450,126.0,3,1,0.05243432090493477,35.27,LOW
W002,2,3,7,390,435,117.85714285714286,5,1,0.02564346786830385,43.82,MEDIUM
W003,2,3,7,370,365,105.0,4,1,0.05467129485621791,34.55,LOW
W004,2,2,6,295,300,99.16666666666669,4,1,0.07786170554819144,27.15,LOW
W005,2,2,6,350,370,120.0,4,1,0.08382834450378701,25.24,LOW
W006,3,2,7,400,295,99.28571428571428,5,-1,-0.018651966151969734,57.96,MEDIUM
W007,1,1,4,155,200,88.75,2,1,0.051919871905421744,35.43,LOW
W008,1,1,3,200,70,90.0,2,1,0.08777679169061686,23.98,LOW
W009,1,1,2,70,85,77.5,2,1,0.09131404043010805,22.85,LOW
W010,2,1,3,265,125,130.0,3,1,0.018651966151969734,46.05,MEDIUM
W011,1,1,2,125,100,112.5,2,1,0.11840575495629518,14.2,LOW
W012,1,1,2,100,95,97.5,2,1,0.16289094107154506,0.0,LOW
W013,1,1,2,95,110,102.5,2,1,0.14827894623220655,4.67,LOW
W014,1,1,2,110,90,100.0,2,1,0.15651431091060036,2.04,LOW
W015,1,1,2,90,105,97.5,2,1,0.1517702589959397,3.55,LOW
W016,3,3,14,61400,86500,10564.285714285714,3,-1,-0.1503095360834661,100.0,HIGH
W017,2,2,8,44500,45200,11212.5,3,-1,-0.0433327295545306,65.84,MEDIUM
W018,3,2,10,60700,36200,9690.0,3,-1,-0.06686126356675215,73.36,HIGH
W019,2,3,8,39300,38000,9662.5,3,-1,-0.03795808883609897,64.13,MEDIUM
